class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class,
3.492525,2.974255,3.534442,4.411260,3.955693,3.476667,3.823856,4.056428,3.569419,4.086801,3.801670,3.180251,4.315294,4.076894,4.157019,3.784961,3.568760,3.529409,2.886439,2.856605,1.499363,2.843525,2.279611,2.414931,1.502059,2.539130,2.161819,2.338122,3.273636,3.292555,3.186513,3.263822,2.997391,3.382797,3.198326,3.005811,3.329912,2.798474,3.462285,3.671403,2.719546,2.959285,2.821087,2.751877,2.986762,3.141752,3.049100,2.376717,2.616868,3.606714,2.449561,2.970924,3.280817,3.007617,2.978786,3.141864,2.925251,3.106898,4.012977,2.941919,3.456912,3.123383,3.298907,3.540847,3.705971,3.215993,3.258420,3.681513,
4.225224,4.022917,3.794297,5.060083,4.413075,3.786982,4.445217,4.696047,4.089900,4.241524,3.949954,3.776109,3.920130,4.616724,4.845652,4.271103,4.165204,4.015829,3.618923,3.311794,2.547415,2.726429,3.172993,3.468404,2.258512,3.592085,3.473130,2.631072,3.721142,3.520991,3.936596,3.185713,3.310099,3.379686,3.090838,2.993112,3.513545,3.767669,3.646074,4.042264,3.488821,2.877924,3.541646,3.194416,3.135745,3.473254,3.569269,2.808189,3.230333,3.937228,3.480572,3.120196,3.696199,3.344393,3.697315,3.556033,3.382154,3.341244,4.103702,3.128419,4.118325,3.648956,3.827159,4.283175,3.911244,3.595660,3.921330,3.843125,
3.464301,3.376890,3.519155,4.636234,3.937037,3.577799,4.119126,3.973817,3.980836,3.838930,3.475559,3.259509,3.919342,4.096679,4.265082,3.764267,4.090381,3.663544,2.839215,2.860690,2.539884,2.617486,3.028084,2.988229,2.503201,2.679576,2.655696,2.705279,3.128733,3.187651,3.754956,3.012774,3.351062,3.067473,3.071708,2.976850,3.627642,3.633887,2.942212,3.377040,2.878836,2.513424,2.958524,3.219380,2.773088,3.228257,2.862303,2.222903,3.239167,3.321592,3.172216,2.634127,3.266914,3.137585,3.214387,3.573013,3.266952,3.017359,3.673082,3.276678,3.566457,3.134291,3.307167,3.684592,3.402798,3.534221,3.724415,3.588115,
3.766897,3.344351,3.156801,4.500643,3.739878,3.092963,3.848854,3.513124,3.921806,3.692148,3.023693,3.088810,3.635958,3.633085,3.995593,3.805083,3.696693,4.172004,3.297353,2.849500,2.215824,2.579577,2.960467,2.355081,1.899984,2.809122,2.368025,2.219034,3.250392,2.420360,3.510691,2.710492,3.265597,3.084204,2.809612,2.994997,3.329638,3.239386,3.222406,3.431055,3.309353,2.821995,3.300855,2.665242,2.815301,3.151329,3.141910,2.404892,2.687913,3.502904,2.916177,3.238059,3.490150,3.094624,3.355985,3.323655,3.111036,3.065362,3.625105,3.496488,3.261693,3.118496,3.615462,3.676125,3.204119,3.669494,3.905648,2.784848,
4.334369,3.856600,4.046236,5.507752,4.358809,3.687501,4.803765,4.774936,4.500865,4.310635,3.857858,3.672793,4.884539,4.534844,5.045842,4.268442,4.409665,4.356695,3.490972,3.464487,2.665796,3.300810,2.646152,3.182086,2.460857,2.864422,3.036917,2.790766,4.135481,3.554987,3.757508,3.198432,3.595407,3.740325,3.605342,3.477107,3.550122,3.733932,3.731466,4.035995,3.833998,3.318684,3.417269,3.276922,3.726300,3.641413,3.393841,3.098849,3.562338,4.129724,3.465396,3.355722,3.705115,3.396971,3.861570,3.923613,3.462412,3.726790,4.342858,4.047872,4.316976,3.707898,3.791352,3.900831,3.837226,3.865612,4.412356,3.954389,
3.425592,3.516775,3.227151,4.514027,3.414512,3.527381,3.954744,3.889296,3.738069,3.655911,3.541725,3.238195,3.743775,3.947490,4.129473,3.509816,3.676013,3.461283,3.245869,2.868043,2.392518,1.970036,2.840380,2.551824,1.946978,2.855279,2.270145,2.841119,3.294849,3.301698,3.470762,2.895968,3.371172,3.186244,2.801380,2.750053,3.524930,3.776378,3.207370,3.614222,3.085604,2.894174,2.713352,2.851955,3.230657,3.107960,2.880606,2.710650,2.850717,3.391944,3.102563,2.727293,3.471770,3.020145,3.700098,3.559466,3.033333,3.092676,3.620711,3.652853,3.339107,3.361467,3.361993,3.873650,3.531277,3.550669,3.755368,3.041326,
3.748360,3.396435,3.718406,4.976492,4.234387,3.234148,3.953877,4.566236,4.351904,3.741376,3.668390,3.207575,4.163748,4.022721,4.474023,3.694736,3.992039,3.869502,2.942275,3.297666,2.391362,2.404032,1.957325,3.033068,2.445465,2.985324,2.515311,2.896717,3.736542,2.860605,3.333850,3.102316,3.617073,3.471627,2.930533,3.452973,3.530389,3.439356,3.541321,3.975855,3.284447,2.818418,3.187403,2.898193,3.109874,2.918112,3.126656,2.922296,3.166196,3.658205,3.135648,2.551573,3.247873,2.979867,3.058527,3.611946,3.490418,2.743976,3.642062,3.490076,3.829825,3.190514,3.523242,3.378006,3.865916,3.330135,3.596784,3.479971,
2.771965,2.834400,2.812155,3.623772,2.995408,2.562570,3.012678,3.136520,3.123319,2.763834,2.557674,2.535162,2.941275,2.976818,3.256304,2.988631,2.626825,2.621617,2.794520,2.379755,2.353193,2.364518,2.378175,2.373449,2.356271,2.411628,2.387052,2.361764,2.427724,2.412170,2.397605,2.383994,2.411275,2.399122,2.386817,2.412305,2.396962,2.402855,2.401869,2.406430,2.408511,2.389021,2.405246,2.403271,2.412781,2.394681,2.385260,2.393705,2.406694,2.413673,2.386287,2.376813,2.395884,2.388429,2.406709,2.409412,2.406745,2.403623,2.410254,2.412731,2.405376,2.407557,2.404479,2.407211,2.401145,2.413651,2.418098,2.402694,
3.112286,3.138011,3.425814,4.093641,3.723314,3.045657,3.310192,3.624782,3.918905,3.201245,3.751314,2.886999,4.068631,3.541972,4.154671,3.135939,3.054871,3.505210,2.430986,3.290514,2.386543,1.964876,2.404412,2.851590,2.836467,2.397903,2.402300,2.403263,2.915008,3.279110,3.287497,2.890802,3.200640,3.084418,2.739700,3.078862,3.120911,3.385608,3.097844,3.030786,2.989885,2.867692,2.679699,2.399939,2.892539,3.029811,2.675582,2.663304,2.741716,3.040466,2.742344,2.574615,3.036310,2.805088,2.977811,3.066732,2.712302,3.113002,3.296596,3.300169,3.333878,3.117890,2.776698,3.047976,2.865641,3.224785,3.573474,3.515448,
3.545348,3.206802,3.633989,4.635160,4.023997,3.566125,4.029421,4.068135,4.182330,3.976628,4.005672,3.290516,4.350218,4.153445,4.511262,3.810673,4.078190,4.118015,2.717480,3.300334,2.345781,2.856073,2.848287,2.921391,2.256472,2.950269,2.136929,2.847136,3.492153,3.100739,4.156268,3.203804,3.341984,3.596773,3.229963,3.201713,3.759800,3.455149,2.967617,3.476428,3.020670,2.390471,3.179996,3.200324,2.675080,3.307195,2.791681,1.962372,3.254184,3.407025,3.023734,2.909700,3.290738,3.082207,3.387959,3.612181,3.342004,2.997442,3.864651,3.465490,3.700458,3.165484,3.441265,3.610058,3.359327,3.543773,3.655325,3.729985,
2.197865,1.881299,2.019749,2.698720,2.178830,2.205882,2.584727,2.393090,2.298498,1.955057,1.687461,2.000752,2.367284,2.343420,2.282202,2.260970,2.317127,2.549578,1.487559,1.500702,1.490160,1.506587,1.738227,2.035048,1.139189,1.832607,1.416442,1.492533,2.057098,1.496355,3.283260,1.864969,2.261941,2.007042,1.695580,1.967397,2.449325,2.536665,1.874207,2.269129,1.972415,1.000000,2.415567,1.825800,1.499137,2.333846,2.215121,1.263771,1.753818,2.183208,2.327539,2.101768,2.213384,1.893920,1.962610,2.531568,2.142268,1.734811,2.133368,2.075507,2.429152,2.181539,2.485691,2.433715,2.113416,2.108592,2.571232,1.990719,
3.605878,3.354072,2.969380,4.668485,3.851639,3.508696,3.652965,3.864829,3.891154,4.086904,4.022546,3.114507,3.959643,4.172014,4.167115,3.393286,3.363852,3.522141,3.290049,3.302640,1.515970,1.522789,2.479687,2.858250,3.276789,2.846384,2.272897,2.190098,3.131517,3.310102,3.063172,2.804700,3.195942,3.288525,2.780506,3.304540,2.816138,3.401643,3.380373,3.753206,2.956373,3.304606,2.572297,2.615282,3.402389,2.607336,2.954829,3.007856,2.390481,3.156693,3.074945,2.965229,3.239359,2.745000,3.115512,3.393048,2.961415,3.166786,3.894567,3.153003,3.422459,3.344141,2.948949,3.850666,3.102236,3.115577,3.852872,3.338142,
3.994265,3.686673,3.652573,5.289661,4.015645,4.153780,4.395969,4.483048,4.423949,4.310009,3.810087,3.367179,4.827070,4.578105,4.548502,4.195776,4.279143,3.885009,3.201177,3.302238,2.842272,2.858257,3.240907,2.860096,2.376690,2.746713,2.489784,2.807609,3.495721,3.073382,4.110809,3.175067,3.843400,3.578844,3.414248,3.354498,3.888235,3.850383,2.989923,4.144492,3.347879,2.918836,3.283665,3.811362,3.310748,3.820507,3.350628,2.686076,3.439780,3.666789,3.272961,3.038707,4.169837,3.260800,3.762849,3.856351,3.239647,3.623569,4.022430,4.110722,4.129244,3.516137,3.855549,4.215465,3.708633,4.056284,4.596133,3.616930,
4.244574,3.677701,3.613547,5.302576,4.290179,3.757634,4.405372,4.169539,3.983001,3.845920,3.208630,3.545594,4.416997,4.372577,5.010195,3.962921,4.467899,3.939889,3.153179,2.430921,2.216297,3.302053,2.875160,3.042408,1.841894,3.296834,2.594835,2.572719,3.559187,3.102414,4.026099,2.920855,3.617367,3.564078,3.335683,3.215880,3.628903,4.009637,3.782883,4.023611,3.495246,3.298098,3.499206,3.604359,3.011001,3.989419,3.147010,2.935996,2.762780,4.348373,3.540159,3.247464,3.455191,3.844569,3.246255,3.607781,3.481272,3.361664,4.085364,3.455510,3.743980,4.093701,3.698978,3.802094,3.694206,3.441643,3.951813,3.657958,
3.569981,3.199769,3.306422,4.433903,3.650943,3.376818,3.999291,3.990483,3.765559,3.792240,3.256285,3.067193,3.674310,4.128312,4.071929,3.672011,3.716329,3.644998,3.211415,2.862186,2.384715,2.851105,2.684315,2.848145,1.948474,2.806506,2.750795,2.617201,3.301098,3.242024,3.339264,2.848662,2.863619,3.209271,3.292872,2.858460,3.145300,3.205421,2.877793,3.374089,2.847087,2.647452,2.908132,3.162001,2.866715,3.148048,2.657586,2.396905,3.103387,3.509648,2.790839,2.772264,3.087860,2.622227,3.303260,3.426917,3.032562,2.803585,3.597317,3.114508,3.611927,3.229375,3.328761,3.325179,3.432248,3.171107,3.494731,3.300522,
3.827166,3.120832,3.157016,4.168058,3.301487,3.368263,4.092827,3.529795,3.721541,3.471942,3.104840,2.989616,3.638338,3.659156,4.131196,3.505647,4.019678,4.026168,2.927846,2.413368,1.733954,2.402009,2.400874,2.983258,1.942793,2.843452,2.375953,2.844446,3.431275,2.619218,3.590793,2.947466,3.245559,2.946269,2.595229,3.105732,3.506265,3.264107,3.211936,3.337635,3.144535,1.948788,2.913666,2.762056,2.839858,2.604367,2.890108,2.544553,2.921498,3.549062,3.205672,2.887072,3.093490,2.883503,2.973826,3.481664,3.372209,2.958669,3.507119,3.345592,3.793157,3.046403,3.314367,3.326617,3.411847,3.262673,3.444998,3.215252,
3.522082,3.201540,3.611396,4.830272,3.718212,2.960893,3.738021,4.191834,3.736086,4.161263,3.865324,3.089915,4.490152,3.718196,3.916597,3.717259,3.570126,3.782376,2.776930,3.295126,2.021963,2.847225,1.960778,2.085510,2.835077,2.934437,1.501945,2.156878,3.567421,2.698642,3.374150,2.850930,3.090857,3.366361,2.948150,3.048204,3.305504,3.263516,3.422650,3.821797,2.941330,3.004466,2.807240,2.738817,3.156125,2.798209,2.945948,2.403158,2.526986,3.129942,2.933696,2.829362,2.842809,2.595694,3.123691,3.437839,2.912337,2.985539,3.664252,3.278548,3.146538,2.850875,2.891888,3.500984,3.148755,3.078063,3.506607,3.243115,
3.191048,2.793098,2.987454,3.891786,3.352284,3.307298,3.595155,3.394748,3.682998,3.224383,2.971864,2.668779,3.922366,3.560240,3.635840,3.153894,3.247090,3.243145,2.406699,2.397754,1.501433,2.392305,2.391390,2.837400,1.500527,1.514442,2.388997,2.390619,2.857667,2.959546,3.247245,2.707568,3.040377,2.671495,2.620421,3.195670,3.175423,2.588978,2.356980,3.039005,2.403939,2.201479,2.353172,2.674552,2.508133,2.839401,2.705242,2.420764,2.856309,3.133199,2.734280,2.803405,3.227717,2.541653,2.896607,3.071262,2.747242,3.048319,3.415856,3.095751,3.802093,2.759165,3.202631,3.073308,3.037394,3.280151,3.429197,3.348118,
3.610422,3.146550,3.446488,4.359828,3.916814,3.183074,3.475683,3.776140,4.037021,3.694087,3.352124,2.993358,3.781246,3.604427,3.973193,3.544674,3.486671,3.821280,2.929643,3.294306,1.945994,2.404300,2.246056,2.591981,2.053527,2.618840,2.561299,2.268846,3.226648,2.862342,2.619138,2.946968,3.186074,3.258290,2.773058,3.098124,2.843438,3.242605,2.905956,3.299506,2.804532,3.022108,2.735430,2.868700,2.997783,2.915972,2.499553,2.669384,2.884462,3.340033,2.907794,2.663020,3.090035,2.767756,3.119013,3.126407,2.873519,2.771947,3.719050,3.370516,3.457325,3.129691,3.175185,3.044623,2.977592,3.243320,3.498612,3.123880,
3.725400,3.549723,3.760926,4.672870,3.756809,2.850186,3.295677,3.755148,4.141685,3.500213,3.031708,3.079024,4.139321,3.616400,3.791689,3.636818,3.548160,3.744034,2.589378,2.846002,2.832947,3.289146,3.006105,2.465846,2.846624,2.727954,2.168790,1.511933,2.649620,2.412869,3.780669,2.591349,3.140257,3.027807,2.413498,2.601601,3.024038,3.803162,2.913133,3.190790,2.656982,2.448647,2.863138,2.918205,2.600548,3.592638,3.266235,2.355109,2.682194,2.769555,3.421983,3.379402,3.233839,2.712282,2.894580,3.234339,2.550329,3.208965,3.531133,3.272817,3.119270,2.896508,2.890406,3.411491,2.404645,3.563154,3.651272,2.849058,
3.717440,3.035159,3.263198,4.596869,3.675257,3.421747,3.636566,3.634105,3.949538,3.614832,3.235298,3.123407,3.926724,4.036483,4.162194,3.464222,3.466383,3.397338,2.848488,2.419168,2.217590,2.500526,2.529031,2.852348,1.831580,2.651001,2.041121,2.576504,3.105736,2.994130,3.598730,2.879248,3.386150,3.215029,3.013773,3.041440,3.153871,3.497239,3.037503,3.582141,2.985901,2.555493,2.733287,2.796371,3.059402,2.957657,2.990090,2.606155,2.403897,3.529809,3.054334,2.921275,3.199735,2.901579,2.901031,3.185743,2.855916,2.948611,3.561115,3.415172,3.452333,3.467980,3.477962,3.548133,3.350853,3.418075,3.504915,3.327667,
3.874771,3.286941,3.269455,4.524230,3.819705,3.230813,4.175972,4.252011,3.935128,3.901448,3.602885,3.129874,3.980804,4.055668,4.520331,3.809234,4.003040,4.000162,3.305905,3.290752,2.392185,2.845679,2.544112,2.855337,1.504590,3.094013,2.400939,2.847858,3.939991,2.869748,3.798136,2.836804,3.307898,3.306760,3.150150,3.039699,3.519830,3.290209,3.303555,3.738275,3.253075,2.718778,3.368942,3.092557,2.934512,3.242020,2.823494,2.447467,3.191671,3.938353,3.032309,2.718969,3.367615,2.963661,3.834647,3.645143,3.280493,2.881486,3.754617,3.400607,3.666767,3.252701,3.634573,3.542141,3.739631,3.205988,3.585406,3.059760,
2.713041,2.543067,2.579218,3.262205,3.188747,2.482810,3.398470,3.430969,2.805984,3.119797,3.233020,2.299527,2.528352,2.987566,4.048690,2.869160,2.788352,3.263434,3.262593,3.255929,1.941183,1.951940,1.956164,2.848877,1.945164,2.844592,3.280397,2.846353,3.300421,3.270454,1.506239,2.403077,2.404523,2.406970,2.862594,2.845719,2.398265,1.953998,2.881129,2.318709,2.849145,2.849444,2.398518,1.958006,2.854968,1.506729,1.505502,2.411174,2.848876,3.298639,1.506637,1.517099,1.959631,2.396819,2.783518,2.407076,2.800282,2.080537,2.776636,2.330361,2.640991,2.385862,2.937155,2.544205,2.980066,2.233153,2.202733,2.833621,
4.112391,3.726042,3.630612,4.941902,3.716903,4.178385,4.034881,4.025959,4.199483,3.833322,3.656474,3.589615,4.567885,4.314822,4.418912,4.062359,3.628853,3.583439,3.304480,2.865207,2.552865,2.821961,2.753262,2.832544,2.109491,3.086327,2.526856,2.766011,3.321118,3.169522,3.788547,3.258451,3.354351,3.654389,3.047529,3.037259,3.286016,3.710140,3.088670,4.006131,3.558512,2.967963,3.251982,3.458694,3.408139,3.759194,3.572386,3.155335,2.967953,3.504631,3.256192,3.252845,3.839411,3.186802,3.339209,3.255753,2.875583,3.440594,3.662370,3.760799,3.965472,4.042122,3.460442,3.683908,3.548371,3.561939,4.189014,3.729009,
3.640191,2.945009,2.967013,4.701312,4.163349,3.981503,4.020262,3.578733,4.343420,3.755950,3.666671,3.232099,4.173450,4.311922,4.622534,3.728465,3.619445,3.947599,3.300096,2.866574,1.509614,1.966312,2.615750,3.296029,1.942019,2.347693,2.428830,2.718125,3.107633,3.303738,3.644863,3.193352,3.351899,3.659660,3.297283,3.772799,3.017993,2.919303,2.892300,3.536102,2.997351,2.627523,3.229787,2.772200,3.059524,2.961832,2.951458,2.739399,2.867588,3.556379,2.870297,3.377657,3.642883,3.154150,3.060737,3.410500,3.434210,3.073199,3.975628,3.339602,4.035992,3.560371,3.696503,3.623466,3.492433,3.483010,3.765506,3.523517,
4.020670,3.370438,3.104276,4.295899,3.572283,3.781598,4.028891,4.095146,3.792393,3.991535,3.876302,2.983382,4.382465,4.181983,4.282000,3.647069,3.458698,3.842365,3.304150,3.301708,1.509953,1.967419,2.402682,3.292071,1.573368,2.778280,2.567871,2.787969,3.681024,3.533303,3.532482,3.255936,3.415363,3.333666,2.871821,3.293034,3.765240,3.239469,3.240094,3.702866,3.265571,2.575633,2.793883,2.817198,3.246819,3.095853,2.972988,2.733431,2.983515,3.632940,2.953529,3.003049,3.612323,2.725295,3.341790,3.539893,3.169523,3.337122,3.878673,3.634587,4.267778,3.291915,3.370087,3.540458,3.969208,3.158178,3.782181,3.894493,
4.258530,3.788885,3.819931,5.187224,4.042960,4.272129,4.389664,4.172212,4.429037,4.046312,3.986921,3.770830,4.537607,4.649433,4.859563,4.106517,4.206625,4.241511,3.308997,2.867138,1.745895,2.779798,2.812793,3.191226,2.168447,3.403353,2.680959,2.741018,3.531573,3.503809,3.830056,3.396663,3.595732,4.140442,3.077764,3.303085,3.431477,3.994768,3.636633,4.058226,3.438126,3.073318,3.091545,3.233984,3.463806,3.550019,3.470028,3.040105,2.975457,3.748526,3.398374,3.601857,3.685572,3.462247,3.353000,3.800220,3.327969,3.454773,4.592139,3.812441,4.142939,4.155420,3.833215,4.103473,3.555394,3.822929,4.172504,3.910353,
3.506416,3.336991,3.415527,4.342191,3.541377,3.222206,3.681421,3.906157,3.784001,3.722281,3.608136,3.060752,4.156561,4.008417,4.089821,3.639136,3.537423,3.366864,2.854047,2.863695,2.193280,3.298687,2.530109,2.719476,1.847881,2.693381,2.518442,2.549278,3.225655,3.252588,3.306063,2.770152,2.857899,3.426622,2.998872,2.671813,3.171173,2.965303,2.967436,3.415159,2.822303,2.799341,2.717131,2.946272,2.823634,3.215729,2.876213,2.382765,2.970457,3.157648,2.624773,2.862444,3.052261,2.682185,3.291177,3.257500,2.737896,3.009138,3.863409,3.081885,3.453998,3.099658,3.122230,3.292973,3.233414,3.118169,3.362338,3.400123,
3.592368,3.057056,2.859032,4.198901,3.352761,3.475965,3.276200,3.468718,3.932825,3.752097,3.428579,2.952821,4.009620,3.811470,3.707335,3.590804,2.859426,3.294912,2.993236,3.284724,1.948898,2.402408,2.453881,2.852249,1.421682,2.452491,2.241233,2.504975,3.170474,2.984904,3.110195,2.818744,2.968584,3.496477,2.811534,2.782007,2.681271,2.934145,1.953769,3.198545,2.802193,2.402726,2.699499,2.837077,3.054424,2.872000,2.417497,2.262099,2.744465,2.812305,2.902364,2.928770,3.217236,2.353496,3.491580,2.986024,2.410381,2.777544,3.639773,3.461712,3.658803,3.097248,3.209391,3.092205,2.706668,2.926651,3.508511,2.969522,
3.449040,2.955461,3.067209,4.150800,3.401908,3.243518,3.460359,3.289479,3.709713,3.598336,3.447182,3.111083,3.649805,4.108075,3.592443,3.504673,3.317208,3.518427,2.683956,2.855121,1.947617,2.398444,2.372168,2.416036,2.389368,2.698345,2.037560,2.355885,3.096793,2.841764,3.403797,2.794577,2.636106,3.556083,3.142423,2.601026,2.776572,3.213998,2.746380,3.400009,3.013173,2.484743,2.780165,2.580867,2.937147,2.832558,2.886244,2.099244,2.537971,2.899476,2.762237,3.006174,2.997293,2.534725,2.998488,3.253163,2.557461,2.806504,3.592848,3.259490,3.568684,3.290473,2.955095,3.157063,2.883415,3.120957,3.813379,3.217804,
