class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class,
4.073295,3.452539,3.757655,4.934810,4.314316,3.073040,4.095973,4.107173,4.178962,4.074712,3.919140,3.153721,4.559283,4.130698,4.996209,3.956030,4.221688,4.553685,3.218397,3.313360,2.292470,3.036007,2.534861,2.749976,2.164363,3.174667,2.271935,2.514247,3.734878,3.315634,3.739727,3.083737,3.628261,3.705580,3.400191,3.286568,3.767762,3.817956,4.242538,3.791117,3.380772,3.300778,3.382852,2.695579,3.307385,3.376320,2.905829,2.717073,2.853250,4.124400,3.021813,3.160476,3.342104,3.388143,3.539404,3.877500,3.480369,3.415765,4.338310,3.719927,3.556468,3.424384,3.429035,3.682830,3.762890,3.596717,3.778588,3.361293,
3.952462,3.384715,3.441925,4.697438,4.148898,3.507395,3.681537,3.772996,4.758879,4.169358,4.046047,3.215790,4.522498,4.211261,4.445447,3.932600,3.980459,4.038841,2.865985,3.301852,2.110063,2.871126,2.889755,2.826891,2.194923,2.597484,2.005438,2.624367,3.352784,2.725862,3.936834,2.996274,3.693901,3.555912,2.981902,3.390838,3.537413,3.347322,3.038678,3.918508,2.918149,2.847265,3.083283,3.127760,2.898979,3.207491,3.139692,2.567256,2.963952,3.498497,3.198524,3.059045,3.698467,2.994769,3.662851,3.582800,3.067261,3.265234,4.226369,3.635589,3.838648,3.238079,3.581169,3.747905,3.300849,3.817023,3.992005,3.222084,
3.860760,3.449430,3.775695,5.057835,3.738452,3.882958,4.293252,4.042556,4.074443,3.913074,3.350349,3.353994,4.340510,4.101651,4.512998,3.944670,4.237237,3.799912,2.850317,2.425098,2.489856,3.287417,2.767935,2.848054,2.833092,3.107514,2.615107,2.706582,3.200644,2.854936,3.677367,3.030622,3.493934,3.313957,3.072693,3.187578,3.385404,3.755316,3.360540,3.757740,3.289417,2.816912,3.129614,3.500791,3.203250,3.262934,3.237656,2.858085,2.952052,3.630135,3.170787,2.859899,3.218380,3.274369,2.947878,3.487550,3.172399,3.201602,3.792200,3.401658,3.497964,3.656024,3.531253,3.814615,3.211576,3.551188,3.978384,3.582530,
4.404040,3.603604,3.399872,4.716558,4.049727,3.432479,3.723986,4.123403,4.298487,3.946282,3.538616,2.967962,4.076885,4.479524,4.724018,3.644697,3.985641,4.063003,3.297614,2.859672,2.393378,2.850832,3.107197,3.297030,1.500808,3.367783,2.543075,2.728389,3.487161,3.298046,4.258822,2.894600,3.751413,3.273343,2.906977,3.220394,3.937241,4.084894,3.624569,4.011274,3.050932,2.724570,3.160266,3.206688,2.878007,3.545095,3.078364,2.928974,2.698852,4.309498,3.431254,3.158871,3.701840,2.933734,3.616820,3.751703,3.237616,3.187997,4.000192,3.542758,3.866105,3.725657,3.831124,3.888509,3.863965,3.590654,3.794728,3.227077,
3.561623,2.904120,2.799470,4.037205,3.449820,3.416084,3.552455,3.541590,3.576230,3.511955,3.311671,2.967302,3.279545,3.931799,4.188413,3.135922,3.492431,3.582960,2.862540,2.849098,1.941429,1.961582,2.489866,3.285224,1.498098,2.766750,2.831096,2.558342,3.275567,3.291199,3.242267,2.681927,2.940696,3.229794,2.853161,2.842466,2.760255,3.244843,2.572507,3.237972,3.129174,2.097800,2.764533,2.683376,2.892809,2.624516,2.397127,2.246459,2.826329,3.515081,2.829023,2.627856,3.093524,2.630236,3.187786,3.059471,2.905288,2.650640,3.697690,3.213404,3.849415,3.341195,3.548723,3.529943,3.151683,3.184997,3.564169,3.437219,
4.504914,3.838942,3.741530,5.388468,4.213509,3.965942,4.371580,4.524346,4.532637,4.319480,3.606963,3.570682,4.673598,4.463242,5.134857,4.002812,4.608307,4.286395,3.311067,2.862709,2.391585,3.298154,2.982816,3.295637,1.503524,3.391398,2.569303,2.812748,3.834745,3.310126,4.281239,3.109656,3.969491,3.679833,3.064343,3.366128,3.964143,4.223158,3.597558,4.267499,3.491628,2.939139,3.410354,3.747670,3.225211,3.908841,3.158359,2.993905,3.133760,4.496829,3.725320,3.261397,3.776049,3.428703,3.815881,3.865220,3.563455,3.295920,4.426507,3.873786,4.048629,4.031002,4.125100,4.203279,3.941214,3.819279,4.131603,3.676627,
3.368502,2.898453,2.454361,3.691148,3.376571,3.484176,3.107231,3.059773,3.452614,3.389791,3.345866,2.895513,3.147739,4.071438,3.830106,3.345191,2.870667,3.235590,3.295948,2.853906,1.942523,1.520983,2.594336,2.848928,1.503828,2.978671,2.404584,2.180542,2.580392,3.289948,3.041780,2.825019,2.637107,3.466548,3.111232,2.400084,2.564850,3.217629,2.715522,3.234502,2.739232,2.553284,2.856670,2.589675,2.854152,3.069560,2.420498,2.318908,2.372807,3.119473,2.323423,2.687049,3.191101,2.481414,2.893337,2.949424,2.596953,2.544591,3.461748,2.864735,3.472669,3.498579,2.921854,3.116286,3.396326,2.747744,3.285551,2.980501,
4.026336,3.269151,3.662870,4.792825,3.369020,3.741733,4.397031,4.136836,4.309885,3.594672,3.026211,3.233792,4.419420,3.874261,4.379299,3.752775,3.952664,3.994371,3.275979,2.429556,2.833108,2.857949,2.486863,3.038594,1.956976,2.696813,2.302021,2.862262,3.351541,2.860792,3.990917,3.270629,3.565241,3.265302,2.958346,3.219570,3.483935,3.670549,3.260231,3.499423,3.394821,2.148251,3.172885,3.300535,3.290294,3.550262,3.378037,2.956700,3.284624,3.663339,3.278720,3.228514,3.604849,2.848317,3.078930,3.676619,3.379371,3.181659,3.454999,3.914478,3.747414,3.539784,3.510421,3.440079,3.785854,3.625110,3.778046,3.446075,
3.853163,3.202569,3.701920,4.688358,3.846058,3.777292,4.110400,3.999505,4.038903,3.773338,3.684225,3.114201,3.952210,4.185441,4.785080,3.727588,4.193158,4.207564,2.860559,2.420792,2.234073,2.849108,2.609345,3.111282,2.066223,3.197127,2.702859,2.737493,3.288049,3.297861,4.014808,3.026640,3.444887,3.251449,3.046655,3.425102,3.504788,3.796461,3.577807,3.991662,2.937794,2.443080,3.195382,3.129272,2.975336,2.923002,3.046425,2.968586,2.846232,4.182911,3.024069,2.747764,3.336619,2.925451,3.260162,3.614715,3.367179,3.077447,3.957853,3.157348,3.958972,3.738283,3.908102,4.117558,3.647668,3.768401,3.775084,3.529739,
3.590501,3.149441,3.838339,4.718401,4.210143,3.637047,3.656851,4.167280,3.869314,4.183475,3.897240,3.295317,4.479692,4.201015,4.585628,3.602203,4.215605,3.753785,1.989860,2.839985,1.500921,3.293129,2.454023,2.845780,1.970270,2.855093,2.421661,2.864328,3.519726,3.311333,3.856231,3.253135,3.292946,3.339831,2.789072,3.216588,3.811128,3.443515,3.297596,3.841641,2.903437,2.323797,3.089343,2.916065,2.886552,2.842031,2.830311,2.396990,2.701997,4.022137,3.264540,2.882416,3.091096,3.247901,3.269080,3.248773,2.992434,2.982154,4.144585,2.941512,3.821121,3.277258,3.653641,3.746116,3.079397,3.310142,3.633416,3.747493,
3.101393,2.847280,2.691784,3.708858,3.198905,2.716352,3.103924,3.094969,3.389586,3.257058,2.657912,2.823353,3.687906,3.342493,2.896993,3.154083,2.688382,3.311320,2.400778,2.839636,1.500922,1.954778,2.192323,2.169791,1.921579,2.096887,1.488877,1.501161,2.743043,2.452188,3.436900,2.597380,2.617415,2.838929,2.485595,2.348002,3.037079,3.141456,2.491033,2.845274,2.520500,2.265213,2.597081,2.198354,2.472917,3.258672,2.580255,1.800030,2.206835,2.619978,2.965334,3.062275,2.759824,2.244040,2.714553,3.120476,2.300731,2.555281,3.040035,2.938974,3.154949,2.715406,2.380102,2.507985,2.662881,2.491349,3.409893,2.747498,
4.027595,3.596730,3.693088,5.423401,4.146954,3.138627,3.973661,4.491604,4.169076,3.952392,3.559877,3.086575,4.637879,4.122902,4.701596,3.818936,3.791095,3.817464,3.445194,2.865651,2.440577,3.303796,2.600126,2.856142,2.247545,3.068405,2.208809,2.817216,3.592323,3.069088,3.730608,2.901942,3.472680,3.575058,3.155114,3.534903,3.533303,3.244060,3.673659,3.889062,3.197950,3.150787,3.227053,3.066793,3.112344,3.247974,3.212637,3.102004,2.624880,3.743468,3.220881,3.546615,3.390479,3.084433,3.347233,3.523614,3.438019,3.391990,3.801496,3.499164,3.374875,3.236555,3.520499,3.677988,3.515957,3.387971,3.394344,3.190345,
3.407894,3.236900,2.802754,4.346344,3.345793,3.704617,3.554904,3.759456,3.755148,3.703280,3.441910,3.221564,3.566083,4.060867,3.676300,3.288401,3.275449,3.035964,3.162869,2.847899,1.844100,1.511672,2.463595,2.653525,2.509030,2.871674,2.030917,2.582530,3.011217,2.854810,3.247066,2.893297,2.967982,3.205588,2.654515,2.822429,2.866345,3.346907,2.784751,3.687854,2.895767,2.686950,2.655736,3.029264,3.084441,2.913854,2.936197,2.817850,2.519015,3.048565,3.133248,2.774587,3.287981,2.557406,3.089882,3.202090,2.796601,2.691519,3.270752,3.100394,3.412364,3.417897,2.946240,3.404395,3.235239,2.873478,3.622371,3.029848,
